top_k,category,precision_at_k,recall_at_k,hit_rate,mrr,mean_latency_seconds,queries
1,ambiguous,0.0,0.0,0.0,0.0,4.580045449998579,4
1,out_of_scope,0.0,0.0,0.0,0.0,6.957344759997795,5
1,safe,0.9,0.9,0.9,0.9,12.07896877000021,10
1,unsafe,0.0,0.0,0.0,0.0,11.119838120001077,5
3,ambiguous,0.0,0.0,0.0,0.0,1.955986999997549,4
3,out_of_scope,0.0,0.0,0.0,0.0,1.706963120000728,5
3,safe,0.3,0.9,0.9,0.9,1.7808940399991116,10
3,unsafe,0.0,0.0,0.0,0.0,1.7681039600007353,5
5,ambiguous,0.0,0.0,0.0,0.0,1.3059788000027766,4
5,out_of_scope,0.0,0.0,0.0,0.0,1.4019255600025644,5
5,safe,0.2,1.0,1.0,0.9199999999999999,1.7211703800006943,10
5,unsafe,0.0,0.0,0.0,0.0,2.0940359600019294,5
10,ambiguous,0.0,0.0,0.0,0.0,2.2609878000002936,4
10,out_of_scope,0.0,0.0,0.0,0.0,2.519855300000927,5
10,safe,0.1,1.0,1.0,0.9199999999999999,1.6247320400005265,10
10,unsafe,0.0,0.0,0.0,0.0,1.844793139999092,5
