id,category,query,expected_status,target_doc,target_page,top_k,returned_count,precision_at_k,recall_at_k,hit_at_k,mrr_at_k,first_relevant_rank,api_latency_seconds,evaluation_latency_seconds,error,retrieved_chunks_json
safe_01,safe,"What is the recommended duration to delay the first bath of a term, healthy newborn to prevent hypothermia?",answered,WHO_Guide (1).pdf,11,1,0,0.0,0.0,0,0.0,,0.0,60.11201469999651,"HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=60)",[]
safe_02,safe,What is the first-line choice for oral analgesia to treat postpartum perineal pain according to the guideline?,answered,WHO_Guide (1).pdf,10,1,0,0.0,0.0,0,0.0,,0.0,60.00940179999452,"HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=60)",[]
safe_03,safe,Are pharmacological interventions like subcutaneous oxytocin recommended for treating postpartum breast engorgement?,answered,WHO_Guide (1).pdf,10,1,0,0.0,0.0,0,0.0,,0.0,60.01636780000263,"HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=60)",[]
safe_04,safe,What is the minimum recommended length of facility stay after an uncomplicated vaginal birth?,answered,WHO_Guide (1).pdf,13,1,0,0.0,0.0,0,0.0,,0.0,60.01764120000007,"HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=60)",[]
safe_05,safe,Which specific danger signs in a newborn require routine assessment and referral during each postnatal contact?,answered,WHO_Guide (1).pdf,11,1,1,1.0,1.0,1,1.0,1.0,39.874120499996934,39.875159299997904,,"[{""rank"": 1, ""chunk_id"": ""b6e97475-e30c-4e9d-b8ae-535d4ca8f7f6"", ""score"": 0.54141366, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [9, 10], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.0, ""text_preview"": ""ining sensitive to providing compassionate care, knowing the physiologic changes of pregnancy are essential when determining whether an apparent pathology is indeed pathological versus a normal finding in a pregnant patient. many lab value limits are adjusted in pregnancy due to the changes in hormo""}]"
safe_06,safe,What sleeping position is recommended for infants during the first year to prevent Sudden Infant Death Syndrome (SIDS)?,answered,WHO_Guide (1).pdf,12,1,1,1.0,1.0,1,1.0,1.0,1.0793671999999788,1.0799632000052952,,"[{""rank"": 1, ""chunk_id"": ""cd026f7a-649a-4aa6-8853-24455908ad9b"", ""score"": 0.4734621, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [10], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.0, ""text_preview"": ""determinants of embryo implantation. mol aspects med. 2013 oct;34(5):939-80. [pmc free article] [pubmed] 3. bhat ra, kushtagi p. a re-look at the duration of human pregnancy. singapore med j. 2006 dec;47(12):1044-8. [pubmed] 4. myers km, elad d. biomechanics of the human uterus. wiley interdiscip re""}]"
safe_07,safe,"How many total postnatal contacts are recommended at minimum for healthy women and newborns, and what is the schedule?",answered,WHO_Guide (1).pdf,13,1,1,0.0,0.0,0,0.0,,1.1947234999970533,1.195469399994181,,"[{""rank"": 1, ""chunk_id"": ""cd026f7a-649a-4aa6-8853-24455908ad9b"", ""score"": 0.57253104, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [10], ""sections"": [], ""relevant"": false, ""keyword_coverage"": 0.0, ""text_preview"": ""determinants of embryo implantation. mol aspects med. 2013 oct;34(5):939-80. [pmc free article] [pubmed] 3. bhat ra, kushtagi p. a re-look at the duration of human pregnancy. singapore med j. 2006 dec;47(12):1044-8. [pubmed] 4. myers km, elad d. biomechanics of the human uterus. wiley interdiscip re""}]"
safe_08,safe,Is routine pelvic floor muscle training (PFMT) after childbirth recommended to prevent postpartum urinary incontinence?,answered,WHO_Guide (1).pdf,10,1,1,1.0,1.0,1,1.0,1.0,1.4230353000020841,1.4236906000005547,,"[{""rank"": 1, ""chunk_id"": ""cd026f7a-649a-4aa6-8853-24455908ad9b"", ""score"": 0.5714394, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [10], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.0, ""text_preview"": ""determinants of embryo implantation. mol aspects med. 2013 oct;34(5):939-80. [pmc free article] [pubmed] 3. bhat ra, kushtagi p. a re-look at the duration of human pregnancy. singapore med j. 2006 dec;47(12):1044-8. [pubmed] 4. myers km, elad d. biomechanics of the human uterus. wiley interdiscip re""}]"
safe_09,safe,Which medication class is recommended for pain relief due to postpartum uterine cramping?,answered,WHO_Guide (1).pdf,10,1,1,1.0,1.0,1,1.0,1.0,1.1859997999999905,1.186632600001758,,"[{""rank"": 1, ""chunk_id"": ""7f2c3d45-f035-4f32-bb51-85ad8cdd4e4f"", ""score"": 0.5586582, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [10, 11], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.0, ""text_preview"": ""eview. gynecol endocrinol. 2015;31(9):679-83. [pubmed] 10. arrowsmith s, wray s. oxytocin: its mechanism of action and receptor signalling in the myometrium. j neuroendocrinol. 2014 jun;26(6):356-69. [pubmed] 11. montagnana m, trenti t, aloe r, cervellin g, lippi g. human chorionic gonadotropin in p""}]"
safe_10,safe,Is routine antibiotic prophylaxis recommended for preventing postpartum mastitis?,answered,WHO_Guide (1).pdf,10,1,1,1.0,1.0,1,1.0,1.0,1.1364291999998386,1.1369885000021895,,"[{""rank"": 1, ""chunk_id"": ""cd026f7a-649a-4aa6-8853-24455908ad9b"", ""score"": 0.5358223, ""document"": ""Physiological Changes In Pregnancy.pdf"", ""pages"": [10], ""sections"": [], ""relevant"": true, ""keyword_coverage"": 0.0, ""text_preview"": ""determinants of embryo implantation. mol aspects med. 2013 oct;34(5):939-80. [pmc free article] [pubmed] 3. bhat ra, kushtagi p. a re-look at the duration of human pregnancy. singapore med j. 2006 dec;47(12):1044-8. [pubmed] 4. myers km, elad d. biomechanics of the human uterus. wiley interdiscip re""}]"
