id,category,query,expected_status,target_doc,target_page,top_k,returned_count,precision_at_k,recall_at_k,hit_at_k,mrr_at_k,first_relevant_rank,api_latency_seconds,evaluation_latency_seconds,error,retrieved_chunks_json
safe_01,safe,"What is the recommended duration to delay the first bath of a term, healthy newborn to prevent hypothermia?",answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,11,1,0,0.0,0.0,0,0.0,,0.0,60.02511040000172,"HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=60)",[]
safe_02,safe,What is the first-line choice for oral analgesia to treat postpartum perineal pain according to the guideline?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,10,1,1,0.0,0.0,0,0.0,,28.01706750000085,28.018000099997153,,"[{""rank"": 1, ""chunk_id"": ""e9906912-b3ec-4001-9644-06ddae063c07"", ""score"": 0.7553041, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}]"
safe_03,safe,Are pharmacological interventions like subcutaneous oxytocin recommended for treating postpartum breast engorgement?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,10,1,1,0.0,0.0,0,0.0,,5.7931304999983695,5.794885300001624,,"[{""rank"": 1, ""chunk_id"": ""2485b587-e660-40b3-b755-d351b7bfa2cc"", ""score"": 0.7035725, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}]"
safe_04,safe,What is the minimum recommended length of facility stay after an uncomplicated vaginal birth?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,13,1,1,0.0,0.0,0,0.0,,2.4032869000002393,2.404896699998062,,"[{""rank"": 1, ""chunk_id"": ""762c2616-eaf1-459c-85ae-b3d98fd958f9"", ""score"": 0.673329, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [15], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""newborn assessment schedules for postnatal care contacts, c. health systems and health promotion interventions = 44. a minimum of four postnatal care contacts is recommended. if birth is in a health facility, healthy women and newborns should receive postnatal care in the facility for at least 24 ho""}]"
safe_05,safe,Which specific danger signs in a newborn require routine assessment and referral during each postnatal contact?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,11,1,1,0.0,0.0,0,0.0,,4.436359399998764,4.437292700000398,,"[{""rank"": 1, ""chunk_id"": ""0ce92fcf-74ca-429a-9b43-565c4e5d5f92"", ""score"": 0.77179813, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [13], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""newborn assessment assessment of the newborn for danger signs 12, 1 = 25. the following signs should be assessed during each postnatal care contact, and the newborn should be referred for further evaluation if any of the signs is present: not feeding well; history of convulsions; fast breathing (bre""}]"
safe_06,safe,What sleeping position is recommended for infants during the first year to prevent Sudden Infant Death Syndrome (SIDS)?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,12,1,1,0.0,0.0,0,0.0,,1.304284199999529,1.3053874999968684,,"[{""rank"": 1, ""chunk_id"": ""474db451-73a9-47d3-ab19-5e6a66c8036d"", ""score"": 0.5614673, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [13, 14], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 0.0, ""text_preview"": ""newborn assessment skin conditions, 1 = 31. routine application of topical emollients in term, healthy newborns for the prevention of skin conditions is not recommended.. use of emollients for the prevention of skin conditions, 2 = not recommended 10 adapted and integrated from the 2020 who guidelin""}]"
safe_07,safe,"How many total postnatal contacts are recommended at minimum for healthy women and newborns, and what is the schedule?",answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,13,1,1,0.0,0.0,0,0.0,,1.2640639000019291,1.2652763999976742,,"[{""rank"": 1, ""chunk_id"": ""acb1e1b2-b00b-4fce-a3fa-0798aecac8e9"", ""score"": 0.7898029, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [15], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 0.6666666666666666, ""text_preview"": ""newborn assessment schedules for postnatal care contacts, c. health systems and health promotion interventions = 44. a minimum of four postnatal care contacts is recommended. if birth is in a health facility, healthy women and newborns should receive postnatal care in the facility for at least 24 ho""}]"
safe_08,safe,Is routine pelvic floor muscle training (PFMT) after childbirth recommended to prevent postpartum urinary incontinence?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,10,1,1,0.0,0.0,0,0.0,,1.0423469000015757,1.0431993999991391,,"[{""rank"": 1, ""chunk_id"": ""846ce830-b15a-4df4-b2c7-ad9ed01bcec0"", ""score"": 0.6804824, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}]"
safe_09,safe,Which medication class is recommended for pain relief due to postpartum uterine cramping?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,10,1,1,0.0,0.0,0,0.0,,1.068248700001277,1.0689707000019553,,"[{""rank"": 1, ""chunk_id"": ""e9906912-b3ec-4001-9644-06ddae063c07"", ""score"": 0.73324054, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}]"
safe_10,safe,Is routine antibiotic prophylaxis recommended for preventing postpartum mastitis?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,10,1,1,0.0,0.0,0,0.0,,0.9409618999998202,0.9415341999992961,,"[{""rank"": 1, ""chunk_id"": ""a8bfd3cb-8c14-49ee-b11c-77f1aea0f174"", ""score"": 0.74396086, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment should be counselled and supported to practice responsive breastfeeding, good positioning and attachment of the baby to the breast, hand expression of breastmilk, and the use of warm or cold compresses, based on a woman's preferences.. non-pharmacological interventions to prevent""}]"
safe_01,safe,"What is the recommended duration to delay the first bath of a term, healthy newborn to prevent hypothermia?",answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,11,3,3,0.0,0.0,0,0.0,,0.9893362000002526,0.9909971999986738,,"[{""rank"": 1, ""chunk_id"": ""b3856d19-f48d-4d4b-b32e-192ab6401928"", ""score"": 0.6840472, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [13], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 0.75, ""text_preview"": ""newborn assessment assessment of the newborn for danger signs 12, 1 = 25. the following signs should be assessed during each postnatal care contact, and the newborn should be referred for further evaluation if any of the signs is present: not feeding well; history of convulsions; fast breathing (bre""}, {""rank"": 2, ""chunk_id"": ""c2290bb3-631a-4871-9cf6-4929c3e26aef"", ""score"": 0.6840472, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [13], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 0.75, ""text_preview"": ""newborn assessment assessment of the newborn for danger signs 12, 1 = 25. the following signs should be assessed during each postnatal care contact, and the newborn should be referred for further evaluation if any of the signs is present: not feeding well; history of convulsions; fast breathing (bre""}, {""rank"": 3, ""chunk_id"": ""7756a55e-f2fa-4222-a666-6690f1add9f0"", ""score"": 0.6840472, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [13], ""sections"": [""Newborn assessment""], ""relevant"": false, ""keyword_coverage"": 0.75, ""text_preview"": ""newborn assessment assessment of the newborn for danger signs 12, 1 = 25. the following signs should be assessed during each postnatal care contact, and the newborn should be referred for further evaluation if any of the signs is present: not feeding well; history of convulsions; fast breathing (bre""}]"
safe_02,safe,What is the first-line choice for oral analgesia to treat postpartum perineal pain according to the guideline?,answered,WHO recommendations on maternal and newborn care for a positive postnatal experience.pdf,10,3,3,0.0,0.0,0,0.0,,0.988568500000838,0.9899879000004148,,"[{""rank"": 1, ""chunk_id"": ""e9906912-b3ec-4001-9644-06ddae063c07"", ""score"": 0.7553041, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}, {""rank"": 2, ""chunk_id"": ""846ce830-b15a-4df4-b2c7-ad9ed01bcec0"", ""score"": 0.7500925, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}, {""rank"": 3, ""chunk_id"": ""2485b587-e660-40b3-b755-d351b7bfa2cc"", ""score"": 0.73390085, ""document"": ""WHO_Guide (1).pdf"", ""pages"": [11], ""sections"": [""Maternal assessment""], ""relevant"": false, ""keyword_coverage"": 1.0, ""text_preview"": ""maternal assessment oral analgesia for perineal pain relief, recommendation = 5. oral paracetamol is recommended as first-line choice when oral analgesia is required for the relief of postpartum perineal pain.. oral analgesia for perineal pain relief, category of recommendation = recommended. pharma""}]"
